Timestep,L.ASIS,L.Ankle,L.Biceps,L.Clavicle,L.Elbow,L.Forearm,L.Heel,L.Knee,L.MT5,L.PSIS,L.SH1,L.SH2,L.SH3,L.Shoulder,L.TH1,L.TH2,L.TH3,L.TH4,L.Toe,L.Wrist,R.ASIS,R.Ankle,R.Biceps,R.Clavicle,R.Elbow,R.Forearm,R.Heel,R.Knee,R.MT5,R.PSIS,R.SH1,R.SH2,R.SH3,R.SH4,R.Shoulder,R.TH1,R.TH2,R.TH3,R.Toe,R.Wrist,S2
161,0.0223439,0.0177908,0.00402864,0.0044485,0.0108249,0.00162053,0.0214431,0.0126765,0.00654349,0.00308106,0.00281409,0.00629954,0.0103735,0.0191321,0.00447773,0.00991563,0.00766775,0.0122605,0.00865075,0.0126923,0.019467,0.00721637,0.00335929,0.00760615,0.00492578,0.00227033,0.0116882,0.00860089,0.0105441,0.00429102,0.00567961,0.00345487,0.00646588,0.00964246,0.00972578,0.0105539,0.00961709,0.0059993,0.00699703,0.00312183,0.0104095
162,0.0223186,0.0160738,0.00434551,0.00462893,0.0109686,0.00193105,0.0202902,0.0130922,0.00724677,0.00312046,0.00242113,0.0059393,0.0102949,0.019348,0.00458709,0.00960609,0.00801332,0.0123293,0.00844421,0.0128386,0.0190261,0.00768705,0.00343447,0.00761346,0.00481062,0.00225405,0.0125374,0.00872959,0.0112952,0.0039145,0.00548101,0.00349311,0.00549713,0.00920083,0.0097431,0.00986041,0.00895494,0.00616431,0.00706468,0.00290825,0.0112895
163,0.0222644,0.013828,0.0044605,0.00482835,0.0110039,0.00204872,0.0187441,0.0133985,0.00752219,0.00376086,0.00211592,0.00579909,0.00977202,0.0195129,0.0062084,0.00963398,0.00861322,0.0123613,0.00993269,0.0129531,0.0186762,0.00824313,0.00352443,0.00757623,0.00479947,0.00194441,0.0136008,0.00891085,0.0116676,0.00360542,0.00529137,0.00361316,0.00509012,0.0091489,0.00983428,0.00905235,0.00873513,0.00627889,0.00716398,0.00257977,0.0119657
164,0.0221921,0.0117552,0.00439017,0.00488647,0.0109133,0.00216007,0.0171082,0.0132784,0.00745823,0.00381982,0.00181924,0.00563433,0.00904719,0.0195635,0.00797276,0.00973689,0.00931917,0.0121605,0.0116148,0.0130345,0.018337,0.00812304,0.00372271,0.00759779,0.0047441,0.00188494,0.0137363,0.00897242,0.0117031,0.00332326,0.00515616,0.00345014,0.00501473,0.00899837,0.0100219,0.00854376,0.00856447,0.00637399,0.00688391,0.00243295,0.0119726
165,0.0221793,0.0105389,0.00421373,0.00497769,0.0106448,0.00228541,0.0158325,0.0130997,0.00723378,0.00348187,0.00212447,0.00581278,0.00846177,0.0194883,0.00950706,0.00994234,0.0101364,0.0118338,0.0123036,0.0129596,0.018027,0.00795009,0.00409779,0.00764206,0.00476748,0.00200542,0.0138168,0.00896933,0.0112407,0.00305519,0.00492727,0.00322971,0.00525119,0.00920307,0.0101931,0.00839066,0.00837167,0.00649611,0.00665212,0.00251966,0.0115403
166,0.0221922,0.00928653,0.00397176,0.00496545,0.0104063,0.00227183,0.0144328,0.0128375,0.00728504,0.00303485,0.00294453,0.00630012,0.00805735,0.0194032,0.0107754,0.0102878,0.010673,0.0116685,0.0131086,0.0128588,0.0179148,0.00760195,0.00439559,0.00759367,0.00469473,0.0020367,0.0133647,0.00892842,0.0109778,0.00275115,0.00476477,0.00304254,0.00577868,0.00947207,0.0102844,0.00796349,0.00810673,0.00655894,0.00572255,0.00256344,0.0109722
167,0.0221798,0.00857427,0.00363905,0.00499621,0.0102409,0.00221593,0.01342,0.0125603,0.00747264,0.00276521,0.00306056,0.00682651,0.00798942,0.0193179,0.012065,0.0106974,0.0112095,0.0118342,0.0132841,0.0127954,0.0179013,0.00719378,0.00452753,0.00753495,0.00451457,0.00199545,0.0128407,0.00894905,0.0102231,0.00243419,0.00462271,0.00308516,0.00663055,0.00991067,0.0104374,0.00759682,0.00793052,0.00647518,0.00517585,0.00246658,0.0105778
168,0.0222503,0.00805758,0.00331938,0.00506324,0.0101296,0.00223507,0.0125436,0.0122818,0.00737808,0.00238713,0.00226907,0.00703271,0.00813432,0.0192123,0.0133397,0.01127,0.0118714,0.0120226,0.0132825,0.0127994,0.0178117,0.00664053,0.00446444,0.00751368,0.00453516,0.00205619,0.0125716,0.00893722,0.00930493,0.00221043,0.00461223,0.00329424,0.00775282,0.0105003,0.0104969,0.00745415,0.00793041,0.00644529,0.00554236,0.00237163,0.0101081
169,0.0222438,0.00736951,0.00294041,0.00509025,0.00999459,0.00217276,0.0113526,0.0119437,0.00767507,0.0022855,0.00126943,0.00703093,0.00816118,0.0190613,0.0142462,0.0119421,0.012468,0.0121595,0.0131015,0.0128258,0.0178557,0.00584628,0.0041438,0.00745254,0.0043692,0.00210521,0.0118464,0.00875814,0.00885388,0.0021096,0.00471493,0.00370821,0.00859372,0.0107718,0.010533,0.00736469,0.0074025,0.00669724,0.00598096,0.00230836,0.00968991
170,0.0222885,0.0067601,0.00264635,0.00510374,0.0099014,0.0022521,0.0106186,0.0114693,0.0070546,0.00246275,0.00137858,0.00702646,0.00811896,0.0188348,0.014774,0.0125348,0.0126495,0.0125051,0.0131762,0.0128097,0.0180231,0.00502774,0.00365313,0.00738393,0.00409181,0.00202943,0.0111276,0.00844317,0.00845088,0.00204562,0.00512499,0.00431156,0.00932598,0.0109228,0.010479,0.00757783,0.00753894,0.00666822,0.00743007,0.00214323,0.00935081
